Date,Visitor,VisitorPts,Home,HomePts
10/30/2013,MIA,120,ORL,92
10/30/2013,TOR,108,PHI,98
10/30/2013,SAC,113,PHO,106
10/30/2013,BOS,93,SAS,104
10/30/2013,CHI,87,DEN,97
10/30/2013,LAC,91,OKC,105
10/30/2013,IND,97,BOS,82
10/30/2013,PHO,98,CHA,91
10/30/2013,UTA,93,DAL,103
10/30/2013,ATL,96,DET,89
10/30/2013,GSW,95,LAL,102
10/30/2013,SAS,102,MEM,86
10/30/2013,BRK,81,MIN,111
10/30/2013,CLE,100,NOP,104
10/30/2013,MIL,107,PHI,115
10/30/2013,CHI,95,POR,98
10/30/2013,WAS,88,TOR,96
10/30/2013,BOS,94,ATL,87
10/30/2013,DAL,100,DEN,102
10/30/2013,POR,113,GSW,101
10/30/2013,MIN,101,HOU,112
10/30/2013,PHI,98,IND,106
10/30/2013,SAC,102,LAC,103
10/30/2013,ORL,99,MIA,101
10/30/2013,CHA,96,MIL,72
10/30/2013,CLE,96,SAS,126
10/30/2013,NYK,89,WAS,98
10/30/2013,DET,109,BRK,97
10/30/2013,CHI,82,LAC,121
10/30/2013,SAC,86,LAL,100
10/30/2013,UTA,73,OKC,95
10/30/2013,PHO,104,ORL,96
10/30/2013,BOS,96,CHA,86
10/30/2013,DEN,110,DAL,96
10/30/2013,MIL,94,DET,113
10/30/2013,MIN,84,IND,98
10/30/2013,HOU,93,MEM,86
10/30/2013,PHO,92,MIA,107
10/30/2013,NYK,91,POR,102
10/30/2013,NOP,93,SAS,112
10/30/2013,CHI,83,UTA,89
10/30/2013,ORL,109,ATL,92
10/30/2013,GSW,102,NOP,101
10/30/2013,BRK,102,TOR,100
10/30/2013,LAL,111,WAS,116
10/30/2013,MEM,100,BOS,93
10/30/2013,LAL,99,BRK,94
10/30/2013,IND,99,CHA,74
10/30/2013,MIA,95,CLE,84
10/30/2013,GSW,99,DAL,103
10/30/2013,CHI,99,DET,79
10/30/2013,ATL,84,HOU,113
10/30/2013,NYK,80,LAC,93
10/30/2013,WAS,100,MIL,92
10/30/2013,DEN,117,MIN,110
10/30/2013,SAS,88,OKC,94
10/30/2013,PHI,94,ORL,105
10/30/2013,POR,106,PHO,120
10/30/2013,DAL,87,ATL,88
10/30/2013,CLE,86,BOS,103
10/30/2013,MIL,76,CHA,92
10/30/2013,NYK,95,DEN,97
10/30/2013,LAL,106,DET,102
10/30/2013,BRK,95,HOU,114
10/30/2013,WAS,73,IND,93
10/30/2013,GSW,112,OKC,113
10/30/2013,SAS,109,ORL,91
10/30/2013,NOP,121,PHI,105
10/30/2013,LAC,104,SAC,98
10/30/2013,MIA,90,TOR,83
10/30/2013,PHO,112,UTA,101
10/30/2013,CHI,93,CLE,97
10/30/2013,MIN,112,DAL,106
10/30/2013,BRK,97,MEM,88
10/30/2013,BOS,85,MIL,92
10/30/2013,UTA,112,PHO,104
10/30/2013,HOU,112,SAS,106
10/30/2013,ATL,101,WAS,108
10/30/2013,PHI,100,DET,115
10/30/2013,IND,105,LAC,100
10/30/2013,POR,114,LAL,108
10/30/2013,CHA,98,MIA,99
10/30/2013,NOP,103,NYK,99
10/30/2013,MIN,103,OKC,113
10/30/2013,GSW,115,SAC,113
10/30/2013,DEN,112,TOR,98
10/30/2013,NOP,131,CHI,128
10/30/2013,IND,102,POR,106
10/30/2013,ATL,100,SAS,102
10/30/2013,HOU,103,UTA,109
10/30/2013,ORL,80,WAS,98
10/30/2013,MIL,100,BOS,108
10/30/2013,DEN,111,BRK,87
10/30/2013,CHA,82,DAL,89
10/30/2013,TOR,103,GSW,112
10/30/2013,PHO,91,MEM,110
10/30/2013,DET,107,MIA,97
10/30/2013,ORL,125,PHI,126
10/30/2013,OKC,97,SAC,95
10/30/2013,LAC,97,ATL,107
10/30/2013,DEN,88,CLE,98
10/30/2013,PHO,97,HOU,88
10/30/2013,DET,105,MIL,98
10/30/2013,DAL,100,NOP,97
10/30/2013,OKC,104,POR,111
10/30/2013,IND,95,UTA,86
10/30/2013,NYK,113,BRK,83
10/30/2013,MIA,87,CHI,107
10/30/2013,LAC,101,MEM,81
10/30/2013,CLE,89,ATL,108
10/30/2013,DEN,98,BOS,106
10/30/2013,PHI,88,CHA,105
10/30/2013,GSW,83,HOU,105
10/30/2013,OKC,109,NOP,95
10/30/2013,ORL,83,NYK,121
10/30/2013,TOR,97,PHO,106
10/30/2013,UTA,98,POR,130
10/30/2013,LAL,106,SAC,100
10/30/2013,MIL,109,WAS,105
10/30/2013,DET,92,CHI,75
10/30/2013,LAC,82,CLE,88
10/30/2013,GSW,108,MEM,82
10/30/2013,BRK,90,MIL,82
10/30/2013,MIA,103,MIN,82
10/30/2013,DEN,103,PHI,92
10/30/2013,DAL,108,POR,106
10/30/2013,IND,111,SAS,100
10/30/2013,SAC,112,UTA,102
10/30/2013,MIA,110,DET,95
10/30/2013,ORL,88,HOU,98
10/30/2013,TOR,106,LAL,94
10/30/2013,BOS,114,NYK,73
10/30/2013,IND,94,OKC,118
10/30/2013,GSW,111,CHA,115
10/30/2013,ORL,85,MEM,94
10/30/2013,LAC,94,PHI,83
10/30/2013,DAL,97,SAC,112
10/30/2013,POR,105,UTA,94
10/30/2013,DEN,75,WAS,74
10/30/2013,OKC,101,ATL,92
10/30/2013,BOS,96,BRK,104
10/30/2013,MIL,78,CHI,74
10/30/2013,NYK,94,CLE,109
10/30/2013,MIN,121,DET,94
10/30/2013,MIA,84,IND,90
10/30/2013,PHO,114,LAL,108
10/30/2013,SAS,116,TOR,103
10/30/2013,LAC,96,BOS,88
10/30/2013,ORL,92,CHA,83
10/30/2013,DAL,93,GSW,95
10/30/2013,OKC,116,MEM,100
10/30/2013,SAS,109,MIL,77
10/30/2013,PHI,99,MIN,106
10/30/2013,DET,106,NOP,111
10/30/2013,CHI,78,NYK,83
10/30/2013,UTA,122,SAC,101
10/30/2013,LAC,93,BRK,102
10/30/2013,HOU,104,POR,111
10/30/2013,WAS,99,ATL,101
10/30/2013,NYK,86,BOS,90
10/30/2013,UTA,103,DEN,93
10/30/2013,BRK,99,DET,103
10/30/2013,HOU,116,GSW,112
10/30/2013,CHA,94,IND,99
10/30/2013,CHI,91,MIL,90
10/30/2013,MEM,98,NOP,104
10/30/2013,LAL,97,OKC,122
10/30/2013,CLE,109,ORL,100
10/30/2013,SAC,107,PHO,116
10/30/2013,MIN,110,SAS,117
10/30/2013,PHI,100,TOR,108
10/30/2013,LAL,88,CHA,85
10/30/2013,TOR,99,CHI,77
10/30/2013,MIL,93,DAL,106
10/30/2013,CLE,107,MIA,114
10/30/2013,ATL,106,NYK,111
10/30/2013,POR,139,PHI,105
10/30/2013,SAS,100,UTA,84
10/30/2013,LAC,113,WAS,97
10/30/2013,NOP,93,DEN,102
10/30/2013,POR,111,DET,109
10/30/2013,MIN,101,MEM,93
10/30/2013,ORL,98,OKC,101
10/30/2013,GSW,102,PHO,106
10/30/2013,HOU,91,SAC,106
10/30/2013,LAL,100,ATL,114
10/30/2013,MIN,97,BOS,101
10/30/2013,PHI,94,BRK,130
10/30/2013,ORL,83,CHI,82
10/30/2013,DET,101,IND,96
10/30/2013,SAS,92,LAC,115
10/30/2013,UTA,94,MIA,117
10/30/2013,WAS,102,NYK,101
10/30/2013,SAC,87,CHA,95
10/30/2013,POR,119,CLE,116
10/30/2013,OKC,105,DEN,93
10/30/2013,NOP,93,GSW,104
10/30/2013,LAL,96,MEM,92
10/30/2013,SAC,107,ATL,124
10/30/2013,DET,107,BOS,106
10/30/2013,WAS,113,BRK,107
10/30/2013,MEM,91,DAL,105
10/30/2013,CHI,94,HOU,109
10/30/2013,NOP,95,LAC,108
10/30/2013,IND,94,MIA,97
10/30/2013,NYK,107,MIL,101
10/30/2013,POR,109,MIN,120
10/30/2013,UTA,86,ORL,82
10/30/2013,SAS,108,PHO,101
10/30/2013,CHA,104,TOR,102
10/30/2013,SAS,104,GSW,102
10/30/2013,CHI,95,OKC,107
10/30/2013,UTA,85,ATL,118
10/30/2013,MIL,111,CLE,114
